treated,donor_code,weight
22,1,7.21029444783697e-8
22,2,6.908384076716932e-8
22,3,1.2212750779979308e-7
22,4,1.9451642225922264e-7
22,5,2.3765859252900087e-7
22,6,1.277769282563969e-7
22,7,1.095661861777301e-7
22,8,9.984211810659823e-8
22,9,5.9041693548543756e-8
22,10,1.1536304527370205e-7
22,12,2.0976475346038488e-7
22,13,2.7409026842110614e-7
22,14,2.6452599020688463e-7
22,15,1.866217798831432e-7
22,16,1.7454950005239595e-7
22,17,3.294667889990315e-7
22,18,0.22330948601405032
22,19,0.1925375099857791
22,20,1.1558944307796942e-4
22,21,1.076789692532477e-7
22,24,0.2824419879668121
22,25,0.060896548288622565
22,26,2.887413403526731e-7
22,27,0.0690690163547365
22,28,3.4679817001323715e-7
22,29,0.17162607581002243
22,30,2.2441854834087302e-7
22,31,1.72403122349952e-7
1,2,1.1929161200746694e-7
1,3,1.1045726816417408e-7
1,4,3.230948462573774e-7
1,5,9.173583946449126e-8
1,6,1.0540048224098059e-7
1,7,1.3035810701288191e-7
1,8,5.4372691590740257e-8
1,9,0.8675632852320536
1,10,1.0360748698308634e-7
1,12,1.1516113536237205e-7
1,13,5.2304042964015354e-8
1,14,1.2038358565456822e-7
1,15,1.062300240886763e-7
1,16,9.209618989940751e-8
1,17,1.2432306378497014e-7
1,18,6.965330380727752e-8
1,19,7.130726733394513e-8
1,20,8.004865022888403e-10
1,21,0.09435807775276076
1,22,2.3311970979761256e-7
1,24,7.688384000856339e-7
1,25,0.005248080170592053
1,26,0.03208539743639857
1,27,1.4090410130908587e-7
1,28,2.6535298555158707e-7
1,29,1.234666192187592e-6
1,30,7.404988223340858e-4
1,31,2.271268268515413e-7
2,1,1.6814202161628338e-8
2,3,3.6584027995159075e-7
2,4,2.994930709842485e-5
2,5,1.1038471809289444e-6
2,6,0.4672720317505537
2,7,8.257699567493655e-8
2,8,3.4743523458703176e-4
2,9,0.36184646428156925
2,10,0.1702400672438019
2,12,4.184088550534729e-7
2,13,1.4613176598847434e-6
2,14,1.5675902722808358e-7
2,15,2.3436321715979494e-4
2,16,1.288406987189479e-6
2,17,7.261446014144126e-7
2,18,4.715131009852189e-7
2,19,3.0568571370829145e-6
2,20,7.290290998505531e-7
2,21,3.7371903364241205e-8
2,22,1.6472326638547821e-6
2,24,6.936215548743706e-7
2,25,1.2559561184681718e-6
2,26,5.280959757366277e-7
2,27,9.329771170604132e-6
2,28,2.064106364373119e-6
2,29,1.8548109519772008e-6
2,30,4.203927948744795e-7
2,31,1.9800905861095818e-6
3,1,0.001665280300929751
3,2,2.8310099572114735e-4
3,4,0.003977786888358604
3,5,4.787889987104342e-4
3,6,0.6193613744158756
3,7,0.0028477545453476517
3,8,1.3591668657162231e-6
3,9,2.976501943464903e-4
3,10,0.040828205485081016
3,12,6.361735047734477e-4
3,13,6.203772451520771e-4
3,14,0.20250932678061195
3,15,7.554635807386356e-4
3,16,0.11352110687449546
3,17,0.0068389040207816176
3,18,3.543098945761015e-4
3,19,3.852803154509436e-4
3,20,2.574698522112323e-4
3,21,4.3665331100624003e-4
3,22,3.3398273524868553e-4
3,24,2.699148335079633e-4
3,25,1.691218299679345e-4
3,26,7.137914141082196e-5
3,27,2.660597401444448e-4
3,28,3.4819950363414957e-4
3,29,3.1495956030620125e-4
3,30,0.0019432781086276996
3,31,2.2673847561221192e-4
4,1,9.061953490805273e-8
4,2,1.153128015435882e-8
4,3,1.3892080587480423e-7
4,5,3.278412945091199e-7
4,6,1.9710516866160589e-7
4,7,1.6335110936093725e-7
4,8,0.016424194766630776
4,9,1.562415336978646e-7
4,10,8.098276831650054e-9
4,12,2.112313351459976e-7
4,13,3.799814581208674e-7
4,14,8.080528315479944e-8
4,15,0.12761123427783916
4,16,0.42474039733175195
4,17,1.666059981120474e-7
4,18,3.062324231718072e-7
4,19,7.944073342247603e-7
4,20,3.315888156900338e-7
4,21,6.35839789484243e-8
4,22,1.0394291099999488e-6
4,24,1.0723912500118596e-6
4,25,4.521014043218255e-6
4,26,3.2651307640182287e-7
4,27,0.002149359695293699
4,28,7.369907160565349e-8
4,29,0.002092462417209808
4,30,0.42697003886616763
4,31,1.8514567604725773e-6
5,1,1.3301802607410288e-6
5,2,2.9653464805460324e-6
5,3,4.117789392063206e-6
5,4,3.5345430766273124e-6
5,6,1.2776755441514832e-6
5,7,3.3453332694087902e-6
5,8,0.08291128173301357
5,9,1.4608572200635174e-6
5,10,3.765390808288158e-6
5,12,1.0952478756119655e-5
5,13,6.238132768274392e-6
5,14,4.823843719908762e-6
5,15,0.11953615674254017
5,16,0.3570234295803716
5,17,4.470991817536671e-4
5,18,1.3983728761453383e-5
5,19,0.02381145554522355
5,20,8.567218967951468e-5
5,21,0.18278591553690246
5,22,7.035729181787808e-5
5,24,9.734943133855043e-6
5,25,4.78177716902806e-6
5,26,8.119995098355179e-6
5,27,1.1683894235096416e-5
5,28,8.317866012145644e-4
5,29,0.2313410519153279
5,30,1.2349287675954062e-6
5,31,0.001062442864636897
6,1,8.083403674044777e-8
6,2,0.2246253492317059
6,3,0.4334830418602985
6,4,7.256690934079914e-4
6,5,1.4595411937073162e-5
6,7,0.008031781598215066
6,8,0.2971913308684698
6,9,8.225677091186202e-8
6,10,3.944724448882856e-6
6,12,6.755506837643468e-6
6,13,7.612746334463843e-7
6,14,0.031427931662292505
6,15,3.6046834774984353e-6
6,16,1.359113392751497e-4
6,17,0.00430783027376359
6,18,2.0689352799212538e-6
6,19,3.6487515157935344e-7
6,20,1.7649389856788623e-6
6,21,7.243239355425222e-8
6,22,2.116557523064802e-6
6,24,2.285623361900546e-6
6,25,8.122173347964863e-7
6,26,4.61966839401035e-7
6,27,2.5429211552447913e-6
6,28,6.393520086651254e-6
6,29,3.677456630718479e-6
6,30,1.634542291183811e-5
6,31,2.4225134352434024e-6
7,1,0.012522137465892647
7,2,5.971015818804614e-6
7,3,2.356265635572257e-6
7,4,1.6813645555393067e-6
7,5,4.899486866695012e-6
7,6,4.879022840212745e-6
7,8,0.42930066695699276
7,9,0.0024064263062103853
7,10,2.452886191354846e-6
7,12,2.5596052906579417e-6
7,13,1.0753319489496772e-6
7,14,0.40294163287421775
7,15,3.097556356633155e-6
7,16,8.358407350826685e-7
7,17,2.257368616747507e-6
7,18,1.7974291938271762e-6
7,19,8.754951976610692e-7
7,20,1.3705743896022288e-6
7,21,0.12864051294974405
7,22,2.7129491711583753e-6
7,24,6.63643095814479e-6
7,25,9.335794401167912e-7
7,26,6.146434014409757e-7
7,27,1.9466889326205444e-6
7,28,3.0018193808195766e-5
7,29,4.557992531574267e-6
7,30,4.7353398038350956e-06
7,31,0.024100358385334933
8,1,0.07269801923265563
8,2,1.886340513909643e-9
8,3,4.15444592599476e-9
8,4,5.8741450915362434e-9
8,5,3.927116231944491e-9
8,6,0.4758333791182262
8,7,0.45145663485044935
8,9,1.9674657381272263e-8
8,10,2.406139698317364e-9
8,12,3.7068411979467296e-9
8,13,1.3266663499260943e-9
8,14,3.458186581981717e-9
8,15,3.616714840176765e-9
8,16,2.6707348774477025e-9
8,17,3.2845804129903996e-9
8,18,2.386798378649074e-9
8,19,1.2181975941359395e-9
8,20,1.871724539546286e-9
8,21,1.5028906008445234e-9
8,22,3.796407277663393e-9
8,24,6.389306155591922e-9
8,25,2.111180107674672e-9
8,26,1.0212147697149978e-5
8,27,1.0048913741068902e-8
8,28,1.576087164824105e-8
8,29,1.6340902278486622e-6
8,30,6.686353353657664e-9
8,31,1.2801623157128602e-8
9,1,0.4927653052872983
9,2,6.821554163141646e-10
9,3,1.1127250122423523e-9
9,4,6.931914753360663e-10
9,5,7.087011263336511e-10
9,6,9.157685323120177e-10
9,7,7.5147276879611e-10
9,8,5.064207976232188e-10
9,10,0.5072345581887027
9,12,1.4343507785371884e-9
9,13,8.871738307834605e-8
9,14,3.52235819838872e-9
9,15,1.1082678999999306e-9
9,16,1.1937362759186789e-9
9,17,4.9209059002753945e-9
9,18,1.2750662585540401e-8
9,19,9.35047703023198e-10
9,20,2.021027361810422e-9
9,21,1.2005035836068743e-9
9,22,4.814489505121196e-9
9,24,1.1444362284690522e-9
9,25,1.4796098014163536e-9
9,26,1.5123935711643386e-9
9,27,1.4423303745093971e-9
9,28,6.719162877754542e-10
9,29,6.421806222085435e-10
9,30,7.819405120352091e-10
9,31,8.596876094999729e-10
10,1,2.9903578950796474e-10
10,2,0.49587088141386926
10,3,0.25234867435645275
10,4,1.2167077788642952e-7
10,5,2.992246743462035e-7
10,6,1.8931897286863543e-5
10,7,9.7492413369594e-7
10,8,5.153316348517354e-4
10,9,0.05444578871160314
10,12,2.2774104832328727e-7
10,13,0.19679400212768564
10,14,1.4835204431022013e-7
10,15,5.623242731563267e-7
10,16,1.3562678874625572e-7
10,17,8.388730954466566e-8
10,18,1.809350897957781e-7
10,19,2.519540745864353e-6
10,20,1.2221495402670875e-7
10,21,2.69906878334669e-7
10,22,9.757585759240776e-8
10,24,7.731781465799607e-8
10,25,6.268219262661469e-8
10,26,3.192333710617888e-8
10,27,1.0842929851905911e-7
10,28,9.3300805366046e-8
10,29,8.320606009596361e-8
10,30,9.602992485791407e-8
10,31,9.274265397803973e-8
12,1,2.2123464474198067e-5
12,2,1.873261601135492e-5
12,3,1.305292708518042e-4
12,4,0.2320226511971291
12,5,1.0804299214520077e-5
12,6,2.6856968101204252e-5
12,7,6.652973063469431e-6
12,8,0.041492341829181094
12,9,1.1227356504867801e-5
12,10,2.93436833186009e-5
12,13,6.73261071701259e-5
12,14,0.20533592185528776
12,15,2.488641678822644e-5
12,16,0.15750956253301715
12,17,1.8801680979656167e-5
12,18,1.4516534247529579e-4
12,19,4.5447244804715074e-5
12,20,3.121906918708084e-4
12,21,0.17855265358568312
12,22,7.6950836749835e-5
12,24,0.18203690851517854
12,25,8.471242162126733e-5
12,26,1.6864849878747733e-5
12,27,5.101226074838974e-4
12,28,0.001468323601568273
12,29,9.154096049231219e-6
12,30,4.944381064352543e-6
12,31,8.799610335199191e-6
13,1,6.875106284490238e-5
13,2,0.04143536450697391
13,3,3.455505949964276e-5
13,4,1.1574142910772498e-4
13,5,1.1752986498035547e-4
13,6,2.020664427177855e-5
13,7,3.954122337483201e-5
13,8,2.000518696653635e-5
13,9,0.004617475645830924
13,10,0.2765846846114172
13,12,1.5503022770904694e-4
13,14,4.1891415666921693e-4
13,15,3.0408003162221003e-4
13,16,1.935060333318854e-6
13,17,0.10647210876147672
13,18,0.0047758189569475015
13,19,0.3991812663287682
13,20,0.00178363634619981
13,21,0.1611587590304004
13,22,0.0015572446712760722
13,24,1.9817321238968868e-4
13,25,1.664713067207667e-4
13,26,9.26580929395795e-5
13,27,1.27993310303642e-4
13,28,1.6690469550871122e-4
13,29,1.054034206567153e-4
13,30,1.3595991161271647e-4
13,31,1.437872391483277e-4
14,1,2.306864788680678e-8
14,2,2.3383640283261804e-8
14,3,1.1939703243531363e-10
14,4,6.050367673737306e-7
14,5,2.884906557191222e-6
14,6,3.8161566715033313e-13
14,7,0.4348672803074473
14,8,1.8861631786021727e-5
14,9,9.315154833331531e-9
14,10,1.2638137774713332e-9
14,12,2.3832455940540366e-5
14,13,4.422541241170608e-8
14,15,1.8853972789644523e-7
14,16,3.598309593132545e-7
14,17,0.5272620328929194
14,18,6.201638173744891e-6
14,19,6.788459402854547e-8
14,20,2.5689054756287955e-6
14,21,0.03764887347545948
14,22,7.874468413044788e-6
14,24,4.6127179133638127e-5
14,25,1.2258449191050678e-6
14,26,1.4515214819554187e-5
14,27,7.090423139691947e-6
14,28,4.5464868233458054e-5
14,29,1.0976560957132089e-5
14,30,4.643755324748889e-6
14,31,2.8222803318835065e-5
15,1,8.750091932307791e-8
15,2,1.086756613449093e-7
15,3,1.4901555525319429e-6
15,4,0.14413741251692
15,5,0.10912118141215732
15,6,1.3874209897186095e-6
15,7,6.391484326506703e-7
15,8,0.13646574822730234
15,9,3.579277749562364e-6
15,10,0.382789782698873
15,12,8.867330888515503e-7
15,13,1.2359193066168448e-6
15,14,9.702096145183282e-7
15,16,0.010849052319696849
15,17,4.863347749262462e-6
15,18,1.034073373313519e-6
15,19,0.0825034263131977
15,20,9.945792009423188e-7
15,21,3.948024964229072e-7
15,22,2.455550381705925e-6
15,24,1.0607934341800586e-6
15,25,1.3660263931502387e-6
15,26,4.070801815257778e-7
15,27,1.797659662821369e-5
15,28,1.7308348003608628e-6
15,29,1.003838245689297e-8
15,30,9.844830084709366e-7
15,31,0.13408973326773635
16,1,1.293749004956896e-7
16,2,7.178347702290562e-7
16,3,0.0010268118607241073
16,4,0.35577735871463095
16,5,0.2306594522838854
16,6,7.104452091945875e-6
16,7,1.5228886350372625e-6
16,8,0.0031424217433712372
16,9,1.1792401271639213e-7
16,10,8.242220581337802e-7
16,12,8.59010835842916e-6
16,13,0.04396227341921541
16,14,1.1651904146306571e-6
16,15,9.449089398280903e-7
16,17,0.3652530822338163
16,18,1.3866384515684178e-6
16,19,7.536392219997553e-9
16,20,1.4848051735045446e-4
16,21,5.296976454580453e-6
16,22,2.955358222706843e-7
16,24,1.9094295395617611e-07
16,25,4.5844090669888823e-7
16,26,1.3675251875033655e-7
16,27,8.73344565809414e-7
16,28,1.3306009296840717e-9
16,29,8.175909563070344e-8
16,30,1.0118443040302721e-7
16,31,1.7188311650089564e-7
17,1,2.496101940659945e-8
17,2,3.4282716694313984e-8
17,3,8.236125496272886e-8
17,4,1.2629897353875347e-6
17,5,8.78054534265044e-8
17,6,5.2702438418662225e-8
17,7,3.086068857648523e-8
17,8,3.4689929224102957e-8
17,9,4.768121315482229e-8
17,10,0.06310955503819923
17,12,4.236462484070075e-8
17,13,8.675898007248783e-8
17,14,0.7615040068958888
17,15,1.2792566602137356e-5
17,16,0.1008685203353764
17,18,1.178023035513663e-7
17,19,5.039798714614281e-8
17,20,4.092835941536967e-8
17,21,1.1623207553315836e-8
17,22,0.07450214497700351
17,24,7.661528846197581e-8
17,25,5.650177203326667e-8
17,26,2.1049982876539903e-8
17,27,8.26478524202463e-8
17,28,7.305819375192518e-8
17,29,2.0285549995165066e-7
17,30,3.454652979377503e-7
17,31,1.1378325436568032e-7
18,1,4.409071073870643e-6
18,2,4.010731936128416e-6
18,3,6.948110103011888e-6
18,4,5.8191011813786575e-6
18,5,6.7507877596037795e-6
18,6,6.225144349871522e-6
18,7,6.559260697163404e-6
18,8,5.3381145859492584e-6
18,9,0.10647689615724377
18,10,6.572988746589422e-6
18,12,1.1078620003403955e-5
18,13,8.046620825169319e-7
18,14,0.5079883900213816
18,15,6.257511890775988e-6
18,16,7.930462980944395e-6
18,17,2.505134216580291e-6
18,19,4.2701060967536815e-6
18,20,0.16053938211622892
18,21,1.0455071724669099e-5
18,22,0.21865245302632894
18,24,1.3109796416870575e-5
18,25,1.1897383871100893e-5
18,26,0.006181836373607634
18,27,1.1340690621891255e-5
18,28,7.3869041599496695e-6
18,29,6.269037373641227e-6
18,30,6.685861440422123e-6
18,31,8.417459486163023e-6
19,1,7.202765715925931e-8
19,2,1.2267089575505484e-6
19,3,4.86358386990144e-9
19,4,1.0717141875643164e-8
19,5,1.7597089661879566e-8
19,6,7.488066337501173e-9
19,7,7.077247184511358e-9
19,8,1.0216463802291425e-8
19,9,7.300978771969718e-13
19,10,2.6348779252962246e-9
19,12,2.0296530753893577e-9
19,13,0.8172754306009489
19,14,5.902894934588132e-10
19,15,1.1885868841990377e-8
19,16,4.722140817569316e-9
19,17,6.320196394472391e-10
19,18,3.0574281026662857e-10
19,20,1.6747357175583083e-9
19,21,3.7652814810863595e-9
19,22,5.508228656856242e-10
19,24,9.910466306247049e-10
19,25,0.18272316820252615
19,26,3.7754849278132894e-10
19,27,1.6447027094598314e-9
19,28,2.739816589195699e-9
19,29,4.079625053582229e-9
19,30,3.935178407480021e-9
19,31,1.94021432762505e-9
20,1,1.8866511487810147e-6
20,2,3.908942712783437e-6
20,3,5.925749918846932e-6
20,4,3.8655870890736495e-6
20,5,9.329094358311073e-6
20,6,5.336314413978215e-6
20,7,6.814633749874471e-6
20,8,7.969609198686645e-6
20,9,1.8939633970941326e-6
20,10,5.748540327492628e-6
20,12,8.786321485179688e-10
20,13,1.8810047443381815e-5
20,14,9.789925889222128e-6
20,15,7.9707129236196e-6
20,16,0.2971348677788618
20,17,7.69868784056705e-6
20,18,0.002159826384302334
20,19,0.052846853028628724
20,21,0.17338455917947163
20,22,3.6682710512667214e-5
20,24,4.229853734385937e-6
20,25,0.47431392552462526
20,26,9.278228690658984e-10
20,27,3.4465986395278625e-6
20,28,4.901993047168665e-6
20,29,4.271145678094181e-6
20,30,3.787433047995842e-6
20,31,5.698104702341739e-6
21,1,8.766733142250848e-5
21,2,6.26225513780138e-4
21,3,2.440510414142054e-4
21,4,3.0224727113689924e-5
21,5,0.23799841615923434
21,6,2.08150584507798e-4
21,7,0.3454879321600944
21,8,1.2233271221189987e-5
21,9,9.69447882971425e-5
21,10,4.2888203184468125e-4
21,12,1.0269005642615098e-6
21,13,2.60686971260003e-4
21,14,0.3531110176762894
21,15,2.457544854876134e-4
21,16,1.897023825219823e-4
21,17,9.292342204096323e-5
21,18,3.03567896404784e-4
21,19,1.1512491196196035e-4
21,20,0.005273496810870737
21,22,8.436601583216479e-5
21,24,1.5879873246728922e-4
21,25,1.391922258315245e-4
21,26,2.941245631364445e-4
21,27,2.69415710259153e-5
21,28,2.57703782714292e-4
21,29,3.795733888561914e-5
21,30,1.4723442105159571e-5
21,31,0.054172163323407296
24,1,2.831770405848515e-8
24,2,4.737152486233566e-8
24,3,3.8456968901796995e-7
24,4,1.2391164292317388e-7
24,5,3.966353770340004e-7
24,6,1.808569518422443e-7
24,7,3.535396333154276e-7
24,8,2.0545649972642122e-7
24,9,3.388842548448977e-8
24,10,1.4224371502323704e-7
24,12,7.1792665119485035e-6
24,13,1.7998061200887558e-7
24,14,1.4049749721371926e-4
24,15,1.519884752292175e-7
24,16,3.5356443592176614e-6
24,17,5.982994376363393e-6
24,18,2.3621665103573273e-5
24,19,4.478508303724168e-8
24,20,2.8109722267204433e-4
24,21,2.638660975699701e-4
24,22,1.4884629089887864e-6
24,25,0.33577408555065624
24,26,7.201810285667638e-7
24,27,2.454384366476802e-4
24,28,0.6632488348228336
24,29,1.2320097340258775e-8
24,30,2.750740322033768e-7
24,31,1.0912186828889294e-6
25,1,0.03472981096320792
25,2,1.1557360260648706e-4
25,3,5.0231326508031306e-5
25,4,2.681158665596892e-4
25,5,5.534913637077806e-5
25,6,4.957952385139478e-5
25,7,3.977227400764425e-5
25,8,3.417838781895929e-5
25,9,1.6065991201254899e-4
25,10,4.741555632696592e-5
25,12,6.40759244687274e-5
25,13,1.0107218088657472e-4
25,14,4.774450272610842e-5
25,15,8.454898972575712e-5
25,16,6.0762628692338544e-5
25,17,6.544505353219508e-5
25,18,7.980433025169106e-5
25,19,2.0799748811912186e-4
25,20,1.466498630068034e-4
25,21,3.435324052184386e-5
25,22,0.0017742025909728977
25,24,0.6075804378225282
25,26,0.3530856460984929
25,27,7.405728750242385e-4
25,28,2.6229563706611976e-4
25,29,5.7657547316795205e-6
25,30,2.950333024312368e-7
25,31,1.0764343718223067e-4
26,1,3.6594513742844187e-9
26,2,1.951494004583038e-9
26,3,1.591282346381466e-9
26,4,1.7957622000774492e-9
26,5,2.859591276309836e-9
26,6,1.8804102008580007e-9
26,7,2.777931054650448e-9
26,8,2.4440374091141016e-9
26,9,1.7183113645972381e-9
26,10,1.0633184101689315e-9
26,12,2.3745762213570957e-9
26,13,9.492681991434382e-10
26,14,1.774423938478835e-9
26,15,1.702935375679098e-9
26,16,1.4029109313422332e-9
26,17,1.4751515859080124e-9
26,18,1.7820540214630139e-9
26,19,1.2323203463424715e-9
26,20,1.6326802682257703e-9
26,21,2.815436650006184e-9
26,22,2.819695715982736e-9
26,24,1.0026928014611918e-10
26,25,0.9999999147348198
26,27,2.5419892225868486e-9
26,28,8.142193870417866e-9
26,29,1.158659622956467e-8
26,30,3.1946012346353576e-9
26,31,1.7996472800219543e-8
27,1,4.020231922158011e-7
27,2,2.3453219556671286e-6
27,3,1.133531942602373e-5
27,4,1.7562564267605734e-4
27,5,9.664666023770146e-6
27,6,7.739545078987251e-6
27,7,2.7551787497004355e-6
27,8,0.1163337333838403
27,9,6.651064148120424e-7
27,10,3.2182189899565756e-6
27,12,1.8314375079838676e-5
27,13,4.674785157995291e-6
27,14,9.86054075962034e-6
27,15,6.2277163300369334e-6
27,16,0.0021148953960557233
27,17,2.010713589871264e-5
27,18,9.752766863615385e-6
27,19,2.1614675435372333e-6
27,20,1.856550114222972e-5
27,21,2.0927598466434028e-6
27,22,7.330564079052889e-6
27,24,2.0049352587065727e-9
27,25,0.31573923974069296
27,26,2.6487374846260266e-8
27,28,0.5654923114313755
27,29,2.537405317310415e-7
27,30,3.7075670326338836e-6
27,31,2.991619785986245e-6
29,1,2.6016641064059465e-6
29,2,1.6652123441543502e-6
29,3,1.978538284797785e-6
29,4,1.8962380577259132e-6
29,5,2.201931305799421e-6
29,6,2.024771382949181e-6
29,7,2.174124968721945e-6
29,8,1.5476846342843138e-6
29,9,1.730729046787389e-6
29,10,1.9593357408441967e-6
29,12,2.0380989168312382e-6
29,13,1.8094491306706656e-6
29,14,2.166980485257959e-6
29,15,2.288458607741981e-6
29,16,1.552455729624463e-6
29,17,2.2224481555341877e-6
29,18,2.2832618024558587e-6
29,19,1.7956043357917695e-6
29,20,2.1330022715577805e-6
29,21,1.7097952453556036e-6
29,22,4.022565326679143e-6
29,24,0.26370496198722376
29,25,0.15246818349289903
29,26,0.020023454920082378
29,27,1.220741958494662e-7
29,28,6.019255635137744e-7
29,30,0.3397109692440244
29,31,0.22404790400795724
30,1,1.4468819158103144e-4
30,2,6.523800062198685e-5
30,3,3.865493657967071e-4
30,4,0.40209886311477955
30,5,1.8185975327254886e-4
30,6,1.236961414019023e-4
30,7,0.09223224180107663
30,8,1.575801973257747e-4
30,9,5.510006082324714e-5
30,10,1.0507487926362841e-4
30,12,4.2266020419658504e-4
30,13,9.365857128344128e-5
30,14,0.05024609034144675
30,15,9.927498191066768e-5
30,16,6.694122850993455e-4
30,17,2.090997166017258e-4
30,18,1.6238094174851744e-4
30,19,5.0920105472918357e-05
30,20,1.4128973568961443e-4
30,21,0.09647812725960486
30,22,1.0414444554703202e-4
30,24,0.0058303603288657295
30,25,4.194885714422684e-5
30,26,5.2225312037665924e-05
30,27,2.4781024390132644e-4
30,28,0.0073895143098315075
30,29,0.3419185712887602
30,31,2.916199396835817e-4
31,1,5.415282671683168e-6
31,2,8.784326645556106e-6
31,3,1.3120577669946908e-5
31,4,1.9684335848637783e-6
31,5,2.2264014441007556e-05
31,6,5.402041249370033e-5
31,7,0.0021149999109852363
31,8,0.17613853932696288
31,9,4.041030531994782e-5
31,10,7.697065249678847e-6
31,12,5.469031146795075e-6
31,13,1.7824558684848246e-6
31,14,5.83469360831485e-4
31,15,7.867663425114647e-6
31,16,5.571474834947679e-6
31,17,4.1975502866653026e-5
31,18,6.367409136073831e-6
31,19,7.409609661363328e-7
31,20,1.5235719490506533e-6
31,21,0.15222052031653788
31,22,5.305560642865863e-6
31,24,1.2441154038956345e-4
31,25,8.104601377398687e-7
31,26,0.20922719662332706
31,27,3.5972907953905745e-6
31,28,1.9488131451373672e-7
31,29,0.45931834220317747
31,30,3.763403668402673e-5
